row,col,gx_t,gy_t,fw_t,gx_v3.x,gx_v3.y,gx_v3.z,gy_v3.x,gy_v3.y,gy_v3.z,fw_v3.x,fw_v3.y,fw_v3.z,gx_v4.x,gx_v4.y,gx_v4.z,gx_v4.w,gy_v4.x,gy_v4.y,gy_v4.z,gy_v4.w,fw_v4.x,fw_v4.y,fw_v4.z,fw_v4.w
0,0,0,0.100000024,0.100000024,0,0.09375,0.125,0.100000024,-0.25,0.875,0.100000024,0.34375,1,0,0.09375,0.125,0.234375,0.100000024,-0.25,0.875,0.015625,0.100000024,0.34375,1,0.25
0,1,0,0.100000024,0.100000024,0,0.09375,0.125,0.100000024,-0.25,0.875,0.100000024,0.34375,1,0,0.09375,0.125,0.234375,0.100000024,-0.25,0.875,0.046875,0.100000024,0.34375,1,0.28125
0,2,0.25,0.100000024,0.350000024,0.25,0.28125,0.125,0.100000024,-0.25,0.875,0.350000024,0.53125,1,0.25,0.28125,0.125,0.234375,0.100000024,-0.25,0.875,0.078125,0.350000024,0.53125,1,0.3125
0,3,0.25,0.100000024,0.350000024,0.25,0.28125,0.125,0.100000024,-0.25,0.875,0.350000024,0.53125,1,0.25,0.28125,0.125,0.234375,0.100000024,-0.25,0.875,0.109375,0.350000024,0.53125,1,0.34375
0,4,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.875,0.350000024,0.71875,1,0.25,0.46875,0.125,0.234375,0.100000024,-0.25,0.875,0.140625,0.350000024,0.71875,1,0.375
0,5,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.875,0.350000024,0.71875,1,0.25,0.46875,0.125,0.234375,0.100000024,-0.25,0.875,0.171875,0.350000024,0.71875,1,0.40625
0,6,0.249999881,0.100000024,0.349999905,0.249999881,0.65625,0.125,0.100000024,-0.25,0.875,0.349999905,0.90625,1,0.249999881,0.65625,0.125,0.234375,0.100000024,-0.25,0.875,0.203125,0.349999905,0.90625,1,0.4375
0,7,0.249999881,0.0999999046,0.349999785,0.249999881,0.65625,0.125,0.0999999046,-0.25,0.875,0.349999785,0.90625,1,0.249999881,0.65625,0.125,0.234375,0.0999999046,-0.25,0.875,0.234375,0.349999785,0.90625,1,0.46875
1,0,0,0.100000024,0.100000024,0,0.09375,0.125,0.100000024,-0.25,0.875,0.100000024,0.34375,1,0,0.09375,0.125,0.203125,0.100000024,-0.25,0.875,0.015625,0.100000024,0.34375,1,0.21875
1,1,0,0.100000024,0.100000024,0,0.09375,0.125,0.100000024,-0.25,0.875,0.100000024,0.34375,1,0,0.09375,0.125,0.203125,0.100000024,-0.25,0.875,0.046875,0.100000024,0.34375,1,0.25
1,2,0.25,0.100000024,0.350000024,0.25,0.28125,0.125,0.100000024,-0.25,0.875,0.350000024,0.53125,1,0.25,0.28125,0.125,0.203125,0.100000024,-0.25,0.875,0.078125,0.350000024,0.53125,1,0.28125
1,3,0.25,0.100000024,0.350000024,0.25,0.28125,0.125,0.100000024,-0.25,0.875,0.350000024,0.53125,1,0.25,0.28125,0.125,0.203125,0.100000024,-0.25,0.875,0.109375,0.350000024,0.53125,1,0.3125
1,4,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.875,0.350000024,0.71875,1,0.25,0.46875,0.125,0.203125,0.100000024,-0.25,0.875,0.140625,0.350000024,0.71875,1,0.34375
1,5,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.875,0.350000024,0.71875,1,0.25,0.46875,0.125,0.203125,0.100000024,-0.25,0.875,0.171875,0.350000024,0.71875,1,0.375
1,6,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.875,0.350000024,0.90625,1,0.25,0.65625,0.125,0.203125,0.100000024,-0.25,0.875,0.203125,0.350000024,0.90625,1,0.40625
1,7,0.25,0.0999999046,0.349999905,0.25,0.65625,0.125,0.0999999046,-0.25,0.875,0.349999905,0.90625,1,0.25,0.65625,0.125,0.203125,0.0999999046,-0.25,0.875,0.234375,0.349999905,0.90625,1,0.4375
2,0,0,0.099999994,0.099999994,0,0.09375,0.125,0.099999994,-0.25,0.625,0.099999994,0.34375,0.75,0,0.09375,0.125,0.171875,0.099999994,-0.25,0.625,0.015625,0.099999994,0.34375,0.75,0.1875
2,1,0,0.099999994,0.099999994,0,0.09375,0.125,0.099999994,-0.25,0.625,0.099999994,0.34375,0.75,0,0.09375,0.125,0.171875,0.099999994,-0.25,0.625,0.046875,0.099999994,0.34375,0.75,0.21875
2,2,0.25,0.0999999642,0.349999964,0.25,0.28125,0.125,0.0999999642,-0.25,0.625,0.349999964,0.53125,0.75,0.25,0.28125,0.125,0.171875,0.0999999642,-0.25,0.625,0.078125,0.349999964,0.53125,0.75,0.25
2,3,0.25,0.0999999642,0.349999964,0.25,0.28125,0.125,0.0999999642,-0.25,0.625,0.349999964,0.53125,0.75,0.25,0.28125,0.125,0.171875,0.0999999642,-0.25,0.625,0.109375,0.349999964,0.53125,0.75,0.28125
2,4,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.625,0.350000024,0.71875,0.75,0.25,0.46875,0.125,0.171875,0.100000024,-0.25,0.625,0.140625,0.350000024,0.71875,0.75,0.3125
2,5,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.625,0.350000024,0.71875,0.75,0.25,0.46875,0.125,0.171875,0.100000024,-0.25,0.625,0.171875,0.350000024,0.71875,0.75,0.34375
2,6,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.625,0.350000024,0.90625,0.75,0.25,0.65625,0.125,0.171875,0.100000024,-0.25,0.625,0.203125,0.350000024,0.90625,0.75,0.375
2,7,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.625,0.350000024,0.90625,0.75,0.25,0.65625,0.125,0.171875,0.100000024,-0.25,0.625,0.234375,0.350000024,0.90625,0.75,0.40625
3,0,0,0.099999994,0.099999994,0,0.09375,0.125,0.099999994,-0.25,0.625,0.099999994,0.34375,0.75,0,0.09375,0.125,0.140625,0.099999994,-0.25,0.625,0.015625,0.099999994,0.34375,0.75,0.15625
3,1,0,0.099999994,0.099999994,0,0.09375,0.125,0.099999994,-0.25,0.625,0.099999994,0.34375,0.75,0,0.09375,0.125,0.140625,0.099999994,-0.25,0.625,0.046875,0.099999994,0.34375,0.75,0.1875
3,2,0.25,0.0999999642,0.349999964,0.25,0.28125,0.125,0.0999999642,-0.25,0.625,0.349999964,0.53125,0.75,0.25,0.28125,0.125,0.140625,0.0999999642,-0.25,0.625,0.078125,0.349999964,0.53125,0.75,0.21875
3,3,0.25,0.0999999642,0.349999964,0.25,0.28125,0.125,0.0999999642,-0.25,0.625,0.349999964,0.53125,0.75,0.25,0.28125,0.125,0.140625,0.0999999642,-0.25,0.625,0.109375,0.349999964,0.53125,0.75,0.25
3,4,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.625,0.350000024,0.71875,0.75,0.25,0.46875,0.125,0.140625,0.100000024,-0.25,0.625,0.140625,0.350000024,0.71875,0.75,0.28125
3,5,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.625,0.350000024,0.71875,0.75,0.25,0.46875,0.125,0.140625,0.100000024,-0.25,0.625,0.171875,0.350000024,0.71875,0.75,0.3125
3,6,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.625,0.350000024,0.90625,0.75,0.25,0.65625,0.125,0.140625,0.100000024,-0.25,0.625,0.203125,0.350000024,0.90625,0.75,0.34375
3,7,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.625,0.350000024,0.90625,0.75,0.25,0.65625,0.125,0.140625,0.100000024,-0.25,0.625,0.234375,0.350000024,0.90625,0.75,0.375
4,0,0,0.100000001,0.100000001,0,0.09375,0.125,0.100000001,-0.25,0.375,0.100000001,0.34375,0.5,0,0.09375,0.125,0.109375,0.100000001,-0.25,0.375,0.015625,0.100000001,0.34375,0.5,0.125
4,1,0,0.100000001,0.100000001,0,0.09375,0.125,0.100000001,-0.25,0.375,0.100000001,0.34375,0.5,0,0.09375,0.125,0.109375,0.100000001,-0.25,0.375,0.046875,0.100000001,0.34375,0.5,0.15625
4,2,0.25,0.099999994,0.349999994,0.25,0.28125,0.125,0.099999994,-0.25,0.375,0.349999994,0.53125,0.5,0.25,0.28125,0.125,0.109375,0.099999994,-0.25,0.375,0.078125,0.349999994,0.53125,0.5,0.1875
4,3,0.25,0.0999999642,0.349999964,0.25,0.28125,0.125,0.0999999642,-0.25,0.375,0.349999964,0.53125,0.5,0.25,0.28125,0.125,0.109375,0.0999999642,-0.25,0.375,0.109375,0.349999964,0.53125,0.5,0.21875
4,4,0.25000006,0.0999999642,0.350000024,0.25000006,0.46875,0.125,0.0999999642,-0.25,0.375,0.350000024,0.71875,0.5,0.25000006,0.46875,0.125,0.109375,0.0999999642,-0.25,0.375,0.140625,0.350000024,0.71875,0.5,0.25
4,5,0.25000006,0.100000024,0.350000083,0.25000006,0.46875,0.125,0.100000024,-0.25,0.375,0.350000083,0.71875,0.5,0.25000006,0.46875,0.125,0.109375,0.100000024,-0.25,0.375,0.171875,0.350000083,0.71875,0.5,0.28125
4,6,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.375,0.350000024,0.90625,0.5,0.25,0.65625,0.125,0.109375,0.100000024,-0.25,0.375,0.203125,0.350000024,0.90625,0.5,0.3125
4,7,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.375,0.350000024,0.90625,0.5,0.25,0.65625,0.125,0.109375,0.100000024,-0.25,0.375,0.234375,0.350000024,0.90625,0.5,0.34375
5,0,0,0.100000001,0.100000001,0,0.09375,0.125,0.100000001,-0.25,0.375,0.100000001,0.34375,0.5,0,0.09375,0.125,0.078125,0.100000001,-0.25,0.375,0.015625,0.100000001,0.34375,0.5,0.09375
5,1,0,0.100000001,0.100000001,0,0.09375,0.125,0.100000001,-0.25,0.375,0.100000001,0.34375,0.5,0,0.09375,0.125,0.078125,0.100000001,-0.25,0.375,0.046875,0.100000001,0.34375,0.5,0.125
5,2,0.25000003,0.099999994,0.350000024,0.25000003,0.28125,0.125,0.099999994,-0.25,0.375,0.350000024,0.53125,0.5,0.25000003,0.28125,0.125,0.078125,0.099999994,-0.25,0.375,0.078125,0.350000024,0.53125,0.5,0.15625
5,3,0.25000003,0.0999999642,0.349999994,0.25000003,0.28125,0.125,0.0999999642,-0.25,0.375,0.349999994,0.53125,0.5,0.25000003,0.28125,0.125,0.078125,0.0999999642,-0.25,0.375,0.109375,0.349999994,0.53125,0.5,0.1875
5,4,0.25,0.0999999642,0.349999964,0.25,0.46875,0.125,0.0999999642,-0.25,0.375,0.349999964,0.71875,0.5,0.25,0.46875,0.125,0.078125,0.0999999642,-0.25,0.375,0.140625,0.349999964,0.71875,0.5,0.21875
5,5,0.25,0.100000024,0.350000024,0.25,0.46875,0.125,0.100000024,-0.25,0.375,0.350000024,0.71875,0.5,0.25,0.46875,0.125,0.078125,0.100000024,-0.25,0.375,0.171875,0.350000024,0.71875,0.5,0.25
5,6,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.375,0.350000024,0.90625,0.5,0.25,0.65625,0.125,0.078125,0.100000024,-0.25,0.375,0.203125,0.350000024,0.90625,0.5,0.28125
5,7,0.25,0.100000024,0.350000024,0.25,0.65625,0.125,0.100000024,-0.25,0.375,0.350000024,0.90625,0.5,0.25,0.65625,0.125,0.078125,0.100000024,-0.25,0.375,0.234375,0.350000024,0.90625,0.5,0.3125
6,0,0.497494668,0.00249815336,0.499992818,0.497494668,0.09375,0.125,0.00249815336,-0.25,0.125,0.499992818,0.34375,0.25,0.497494668,0.09375,0.125,0.046875,0.00249815336,-0.25,0.125,0.015625,0.499992818,0.34375,0.25,0.0625
