row,col,a,b.x,b.y,b.z,c.x,c.y,d1,e,d2
0,0,0.375,0.25,0.125,0.25,0,0.375,0.03125,0.25,0
0,1,0.375,0.25,0.140625,0.25,0,0.375,0.03125,0.25,0
0,2,0.375,0.25,0.15625,0.25,0,0.375,0.09375,0.3125,0
0,3,0.375,0.25,0.171875,0.25,0,0.375,0.09375,0.3125,0
0,4,0.375,0.25,0.1875,0.25,0,0.375,0.15625,0.375,0
0,5,0.375,0.25,0.203125,0.25,0,0.375,0.15625,0.375,0
0,6,0.375,0.25,0.21875,0.25,0,0.375,0.21875,0.4375,0
0,7,0.375,0.25,0.234375,0.25,0,0.375,0.21875,0.4375,0
1,0,0.375,0.25,0.109375,0.25,0,0.375,0.03125,0.25,0
1,1,0.375,0.25,0.125,0.25,0,0.375,0.03125,0.25,0
1,2,0.375,0.25,0.140625,0.25,0,0.375,0.09375,0.3125,0
1,3,0.375,0.25,0.15625,0.25,0,0.375,0.09375,0.3125,0
1,4,0.375,0.25,0.171875,0.25,0,0.375,0.15625,0.375,0
1,5,0.375,0.25,0.1875,0.25,0,0.375,0.15625,0.375,0
1,6,0.375,0.25,0.203125,0.25,0,0.375,0.21875,0.4375,0
1,7,0.375,0.25,0.21875,0.25,0,0.375,0.21875,0.4375,0
2,0,0.375,0.25,0.09375,0.25,0,0.375,0.03125,0.1875,0
2,1,0.375,0.25,0.109375,0.25,0,0.375,0.03125,0.1875,0
2,2,0.375,0.25,0.125,0.25,0,0.375,0.09375,0.25,0
2,3,0.375,0.25,0.140625,0.25,0,0.375,0.09375,0.25,0
2,4,0.375,0.25,0.15625,0.25,0,0.375,0.15625,0.3125,0
2,5,0.375,0.25,0.171875,0.25,0,0.375,0.15625,0.3125,0
2,6,0.375,0.25,0.1875,0.25,0,0.375,0.21875,0.375,0
2,7,0.375,0.25,0.203125,0.25,0,0.375,0.21875,0.375,0
3,0,0.375,0.25,0.078125,0.25,0,0.375,0.03125,0.1875,0
3,1,0.375,0.25,0.09375,0.25,0,0.375,0.03125,0.1875,0
3,2,0.375,0.25,0.109375,0.25,0,0.375,0.09375,0.25,0
3,3,0.375,0.25,0.125,0.25,0,0.375,0.09375,0.25,0
3,4,0.375,0.25,0.140625,0.25,0,0.375,0.15625,0.3125,0
3,5,0.375,0.25,0.15625,0.25,0,0.375,0.15625,0.3125,0
3,6,0.375,0.25,0.171875,0.25,0,0.375,0.21875,0.375,0
3,7,0.375,0.25,0.1875,0.25,0,0.375,0.21875,0.375,0
4,0,0.375,0.25,0.0625,0.25,0,0.375,0.03125,0.125,0
4,1,0.375,0.25,0.078125,0.25,0,0.375,0.03125,0.125,0
4,2,0.375,0.25,0.09375,0.25,0,0.375,0.09375,0.1875,0
4,3,0.375,0.25,0.109375,0.25,0,0.375,0.09375,0.1875,0
4,4,0.375,0.25,0.125,0.25,0,0.375,0.15625,0.25,0
4,5,0.375,0.25,0.140625,0.25,0,0.375,0.15625,0.25,0
4,6,0.375,0.25,0.15625,0.25,0,0.375,0.21875,0.3125,0
4,7,0.375,0.25,0.171875,0.25,0,0.375,0.21875,0.3125,0
5,0,0.375,0.25,0.046875,0.25,0,0.375,0.03125,0.125,0
5,1,0.375,0.25,0.0625,0.25,0,0.375,0.03125,0.125,0
5,2,0.375,0.25,0.078125,0.25,0,0.375,0.09375,0.1875,0
5,3,0.375,0.25,0.09375,0.25,0,0.375,0.09375,0.1875,0
5,4,0.375,0.25,0.109375,0.25,0,0.375,0.15625,0.25,0
5,5,0.375,0.25,0.125,0.25,0,0.375,0.15625,0.25,0
5,6,0.375,0.25,0.140625,0.25,0,0.375,0.21875,0.3125,0
5,7,0.375,0.25,0.15625,0.25,0,0.375,0.21875,0.3125,0
6,0,0.375,0.25,0.03125,0.25,0,0.375,0.03125,0.0625,0
6,1,0.375,0.25,0.046875,0.25,0,0.375,0.03125,0.0625,0
6,2,0.375,0.25,0.0625,0.25,0,0.375,0.09375,0.125,0
6,3,0.375,0.25,0.078125,0.25,0,0.375,0.09375,0.125,0
6,4,0.375,0.25,0.09375,0.25,0,0.375,0.15625,0.1875,0
6,5,0.375,0.25,0.109375,0.25,0,0.375,0.15625,0.1875,0
6,6,0.375,0.25,0.125,0.25,0,0.375,0.21875,0.25,0
6,7,0.375,0.25,0.140625,0.25,0,0.375,0.21875,0.25,0
7,0,0.375,0.25,0.015625,0.25,0,0.375,0.03125,0.0625,0
7,1,0.375,0.25,0.03125,0.25,0,0.375,0.03125,0.0625,0
7,2,0.375,0.25,0.046875,0.25,0,0.375,0.09375,0.125,0
7,3,0.375,0.25,0.0625,0.25,0,0.375,0.09375,0.125,0
7,4,0.375,0.25,0.078125,0.25,0,0.375,0.15625,0.1875,0
7,5,0.375,0.25,0.09375,0.25,0,0.375,0.15625,0.1875,0
7,6,0.375,0.25,0.109375,0.25,0,0.375,0.21875,0.25,0
7,7,0.375,0.25,0.125,0.25,0,0.375,0.21875,0.25,0
