row,col,s1,s2,s3
0,0,0.25,0.375,0
0,1,0.25,0.375,0
0,2,0.25,0.375,0
0,3,0.25,0.375,0
0,4,0.25,0.375,0
0,5,0.25,0.375,0
0,6,0.25,0.375,0
0,7,0.25,0.375,0
1,0,0.25,0.375,0
1,1,0.25,0.375,0
1,2,0.25,0.375,0
1,3,0.25,0.375,0
1,4,0.25,0.375,0
1,5,0.25,0.375,0
1,6,0.25,0.375,0
1,7,0.25,0.375,0
2,0,0.25,0.375,0
2,1,0.25,0.375,0
2,2,0.25,0.375,0
2,3,0.25,0.375,0
2,4,0.25,0.375,0
2,5,0.25,0.375,0
2,6,0.25,0.375,0
2,7,0.25,0.375,0
3,0,0.25,0.375,0
3,1,0.25,0.375,0
3,2,0.25,0.375,0
3,3,0.25,0.375,0
3,4,0.25,0.375,0
3,5,0.25,0.375,0
3,6,0.25,0.375,0
3,7,0.25,0.375,0
4,0,0.25,0.375,0.125
4,1,0.25,0.375,0.125
4,2,0.25,0.375,0.125
4,3,0.25,0.375,0.125
4,4,0.25,0.375,0.125
4,5,0.25,0.375,0.125
4,6,0.25,0.375,0.125
4,7,0.25,0.375,0.125
5,0,0.25,0.375,0.125
5,1,0.25,0.375,0.125
5,2,0.25,0.375,0.125
5,3,0.25,0.375,0.125
5,4,0.25,0.375,0.125
5,5,0.25,0.375,0.125
5,6,0.25,0.375,0.125
5,7,0.25,0.375,0.125
6,0,0.25,0.375,0.125
6,1,0.25,0.375,0.125
6,2,0.25,0.375,0.125
6,3,0.25,0.375,0.125
6,4,0.25,0.375,0.125
6,5,0.25,0.375,0.125
6,6,0.25,0.375,0.125
6,7,0.25,0.375,0.125
7,0,0.25,0.375,0.125
7,1,0.25,0.375,0.125
7,2,0.25,0.375,0.125
7,3,0.25,0.375,0.125
7,4,0.25,0.375,0.125
7,5,0.25,0.375,0.125
7,6,0.25,0.375,0.125
7,7,0.25,0.375,0.125
