row,col,gx,gy,fwx,fwy
0,0,-0.134693861,1.97142935,0.142857134,0.200000048
0,1,-0.134693861,1.91428638,0.142857134,0.200000048
0,2,0.110203743,1.8571434,0.142857134,0.200000048
0,3,0.110203743,1.80000067,0.142857134,0.200000048
0,4,0.355101585,1.74285698,0.142857134,0.200000048
0,5,0.355101585,1.68571472,0.142857134,0.200000048
0,6,0.600000381,1.62857246,0.142857134,0.200000048
1,0,-0.0775511265,1.17142856,0.142857134,0.199999988
1,1,-0.0775511265,1.11428559,0.142857134,0.199999988
1,2,0.167346954,1.05714273,0.142857134,0.199999988
1,3,0.167346954,0.999999762,0.142857134,0.199999988
1,4,0.412244797,0.942857027,0.142857134,0.199999988
1,5,0.412244797,0.885714054,0.142857134,0.199999988
1,6,0.657142401,0.828571558,0.142857134,0.199999988
2,0,-0.0204081535,1.17142856,0.142857134,0.199999988
2,1,-0.0204081535,1.11428559,0.142857134,0.199999988
2,2,0.224489927,1.05714273,0.142857134,0.199999988
2,3,0.224489927,0.999999762,0.142857134,0.199999988
2,4,0.46938777,0.942857027,0.142857134,0.199999988
2,5,0.46938777,0.885714054,0.142857134,0.199999988
2,6,0.714285612,0.828571558,0.142857134,0.199999988
3,0,0.0367346406,0.371428579,0.142857134,0.200000018
3,1,0.0367346406,0.314285666,0.142857134,0.200000018
3,2,0.281632721,0.257142812,0.142857134,0.200000018
3,3,0.281632721,0.200000048,0.142857134,0.200000018
3,4,0.526530266,0.142857194,0.142857134,0.200000018
3,5,0.526530266,0.085714221,0.142857134,0.200000018
3,6,0.771428347,0.0285716057,0.142857134,0.200000018
4,0,0.0938775539,0.371428579,0.142857134,0.200000018
4,1,0.0938775539,0.314285666,0.142857134,0.200000018
4,2,0.338775486,0.257142812,0.142857134,0.200000018
4,3,0.338775486,0.200000048,0.142857134,0.200000018
4,4,0.583673239,0.142857194,0.142857134,0.200000018
4,5,0.583673239,0.085714221,0.142857134,0.200000018
4,6,0.82857132,0.0285716057,0.142857134,0.200000018
