label,u,v,nearest_bl_r,nearest_bl_g,nearest_bl_b,nearest_bl_a,bilinear_bl_unflipped_r,bilinear_bl_unflipped_g,bilinear_bl_unflipped_b,bilinear_bl_unflipped_a
interior,0.125,0.125,0.75,0,0.75,1,0.75,0,0.75,1
center,0.5,0.5,0.375,0.5,0.25,1,0.46875,0.375,0.375,1
interior-2,0.90000000000000002,0.10000000000000001,0.9375,0.75,0.75,1,0.9375,0.75,0.75,1
boundary-00,0,0,0.75,0,0.75,1,0.75,0,0.75,1
boundary-11,1,1,0.1875,0.75,0,1,0.1875,0.75,0,1
boundary-01,0,1,0,0,0,1,0,0,0,1
boundary-10,1,0,0.9375,0.75,0.75,1,0.9375,0.75,0.75,1
neg-u,-0.29999999999999999,0.20000000000000001,0.75,0,0.75,1,0.67500001192092896,0,0.67500001192092896,1
over-u,1.7,0.5,0.4375,0.75,0.25,1,0.5625,0.75,0.375,1
neg-both-small,-0.01,-0.01,0.75,0,0.75,1,0.75,0,0.75,1
over-both,1.5,1.5,0.1875,0.75,0,1,0.1875,0.75,0,1
far-out,-2.2999999999999998,3.7000000000000002,0,0,0,1,0,0,0,1
far-neg-v,0.5,-5,0.875,0.5,0.75,1,0.84375,0.375,0.75,1
far-over-u,5,0.5,0.4375,0.75,0.25,1,0.5625,0.75,0.375,1
