label,u,v,nearest_bl_r,nearest_bl_g,nearest_bl_b,nearest_bl_a,bilinear_naive_unflipped_r,bilinear_naive_unflipped_g,bilinear_naive_unflipped_b,bilinear_naive_unflipped_a,bilinear_production_flipped_r,bilinear_production_flipped_g,bilinear_production_flipped_b,bilinear_production_flipped_a
interior,0.125,0.125,0.75,0,0.75,1,0,0,0,1,0.75,0,0.75,1
center,0.5,0.5,0.375,0.5,0.25,1,0.46875,0.375,0.375,1,0.46875,0.375,0.375,1
interior-2,0.9,0.1,0.9375,0.75,0.75,1,0.1875,0.75,0,1,0.9375,0.75,0.75,1
boundary-00,0,0,0.75,0,0.75,1,0,0,0,1,0.75,0,0.75,1
boundary-11,1,1,0.1875,0.75,0,1,0.9375,0.75,0.75,1,0.1875,0.75,0,1
boundary-01,0,1,0,0,0,1,0.75,0,0.75,1,0,0,0,1
boundary-10,1,0,0.9375,0.75,0.75,1,0.1875,0.75,0,1,0.9375,0.75,0.75,1
neg-u,-0.3,0.2,0.75,0,0.75,1,0.07500000298023224,0,0.07500000298023224,1,0.675000011920929,0,0.675000011920929,1
over-u,1.7,0.5,0.4375,0.75,0.25,1,0.5625,0.75,0.375,1,0.5625,0.75,0.375,1
neg-both-small,-0.01,-0.01,0.75,0,0.75,1,0,0,0,1,0.75,0,0.75,1
over-both,1.5,1.5,0.1875,0.75,0,1,0.9375,0.75,0.75,1,0.1875,0.75,0,1
far-out,-2.3,3.7,0,0,0,1,0.75,0,0.75,1,0,0,0,1
far-neg-v,0.5,-5,0.875,0.5,0.75,1,0.09375,0.375,0,1,0.84375,0.375,0.75,1
far-over-u,5,0.5,0.4375,0.75,0.25,1,0.5625,0.75,0.375,1,0.5625,0.75,0.375,1
