row,col,gx(dFdx t),gy(dFdy t),fwidth(uv).x,fwidth(uv).y
0,0,-0.140625,1.078125,0.125,0.125
0,1,-0.140625,1.046875,0.125,0.125
0,2,0.046875,1.015625,0.125,0.125
0,3,0.046875,0.984375,0.125,0.125
0,4,0.234375,0.953125,0.125,0.125
0,5,0.234375,0.921875,0.125,0.125
0,6,0.421875,0.890625,0.125,0.125
0,7,0.421875,0.859375,0.125,0.125
1,0,-0.109375,1.078125,0.125,0.125
1,1,-0.109375,1.046875,0.125,0.125
1,2,0.078125,1.015625,0.125,0.125
1,3,0.078125,0.984375,0.125,0.125
1,4,0.265625,0.953125,0.125,0.125
1,5,0.265625,0.921875,0.125,0.125
1,6,0.453125,0.890625,0.125,0.125
1,7,0.453125,0.859375,0.125,0.125
2,0,-0.078125,0.765625,0.125,0.125
2,1,-0.078125,0.734375,0.125,0.125
2,2,0.109375,0.703125,0.125,0.125
2,3,0.109375,0.671875,0.125,0.125
2,4,0.296875,0.640625,0.125,0.125
2,5,0.296875,0.609375,0.125,0.125
2,6,0.484375,0.578125,0.125,0.125
2,7,0.484375,0.546875,0.125,0.125
3,0,-0.046875,0.765625,0.125,0.125
3,1,-0.046875,0.734375,0.125,0.125
3,2,0.140625,0.703125,0.125,0.125
3,3,0.140625,0.671875,0.125,0.125
3,4,0.328125,0.640625,0.125,0.125
3,5,0.328125,0.609375,0.125,0.125
3,6,0.515625,0.578125,0.125,0.125
3,7,0.515625,0.546875,0.125,0.125
4,0,-0.015625,0.453125,0.125,0.125
4,1,-0.015625,0.421875,0.125,0.125
4,2,0.171875,0.390625,0.125,0.125
4,3,0.171875,0.359375,0.125,0.125
4,4,0.359375,0.328125,0.125,0.125
4,5,0.359375,0.296875,0.125,0.125
4,6,0.546875,0.265625,0.125,0.125
4,7,0.546875,0.234375,0.125,0.125
5,0,0.015625,0.453125,0.125,0.125
5,1,0.015625,0.421875,0.125,0.125
5,2,0.203125,0.390625,0.125,0.125
5,3,0.203125,0.359375,0.125,0.125
5,4,0.390625,0.328125,0.125,0.125
5,5,0.390625,0.296875,0.125,0.125
5,6,0.578125,0.265625,0.125,0.125
5,7,0.578125,0.234375,0.125,0.125
6,0,0.046875,0.140625,0.125,0.125
6,1,0.046875,0.109375,0.125,0.125
6,2,0.234375,0.078125,0.125,0.125
6,3,0.234375,0.046875,0.125,0.125
6,4,0.421875,0.015625,0.125,0.125
6,5,0.421875,-0.015625,0.125,0.125
6,6,0.609375,-0.046875,0.125,0.125
6,7,0.609375,-0.078125,0.125,0.125
7,0,0.078125,0.140625,0.125,0.125
7,1,0.078125,0.109375,0.125,0.125
7,2,0.265625,0.078125,0.125,0.125
7,3,0.265625,0.046875,0.125,0.125
7,4,0.453125,0.015625,0.125,0.125
7,5,0.453125,-0.015625,0.125,0.125
7,6,0.640625,-0.046875,0.125,0.125
7,7,0.640625,-0.078125,0.125,0.125
